17,<25,<25,*
18,<25,<25,*
19,<25,<25,*
20,<25,<25,*
21,<25,<25,*
22,<25,<25,*
23,<25,<25,*
24,<25,<25,*
25,"[25, 30[","[25, 30[",*
26,"[25, 30[","[25, 30[",*
27,"[25, 30[","[25, 30[",*
28,"[25, 30[","[25, 30[",*
29,"[25, 30[","[25, 30[",*
30,"[30, 35[","[30, 40[",*
31,"[30, 35[","[30, 40[",*
32,"[30, 35[","[30, 40[",*
33,"[30, 35[","[30, 40[",*
34,"[30, 35[","[30, 40[",*
35,"[35, 40[","[30, 40[",*
36,"[35, 40[","[30, 40[",*
37,"[35, 40[","[30, 40[",*
38,"[35, 40[","[30, 40[",*
39,"[35, 40[","[30, 40[",*
40,"[40, 45[","[40, 50[",*
41,"[40, 45[","[40, 50[",*
42,"[40, 45[","[40, 50[",*
43,"[40, 45[","[40, 50[",*
44,"[40, 45[","[40, 50[",*
45,"[45, 50[","[40, 50[",*
46,"[45, 50[","[40, 50[",*
47,"[45, 50[","[40, 50[",*
48,"[45, 50[","[40, 50[",*
49,"[45, 50[","[40, 50[",*
50,"[50, 55[","[50, 60[",*
51,"[50, 55[","[50, 60[",*
52,"[50, 55[","[50, 60[",*
53,"[50, 55[","[50, 60[",*
54,"[50, 55[","[50, 60[",*
55,"[55, 60[","[50, 60[",*
56,"[55, 60[","[50, 60[",*
57,"[55, 60[","[50, 60[",*
58,"[55, 60[","[50, 60[",*
59,"[55, 60[","[50, 60[",*
60,>=60,>=60,*
61,>=60,>=60,*
62,>=60,>=60,*
63,>=60,>=60,*
64,>=60,>=60,*
65,>=60,>=60,*
66,>=60,>=60,*
67,>=60,>=60,*
68,>=60,>=60,*
69,>=60,>=60,*
70,>=60,>=60,*
71,>=60,>=60,*
72,>=60,>=60,*
73,>=60,>=60,*
74,>=60,>=60,*
75,>=60,>=60,*
76,>=60,>=60,*
77,>=60,>=60,*
78,>=60,>=60,*
79,>=60,>=60,*
80,>=60,>=60,*
81,>=60,>=60,*
82,>=60,>=60,*
83,>=60,>=60,*
84,>=60,>=60,*
85,>=60,>=60,*
86,>=60,>=60,*
87,>=60,>=60,*
88,>=60,>=60,*
89,>=60,>=60,*
90,>=60,>=60,*
